STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17330101;17330131;    5;  -999;   3.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330201;17330228;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330301;17330331;    5;  -999;   4.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330401;17330430;    5;  -999;  10.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330501;17330531;    5;  -999;  11.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330601;17330630;    5;  -999;  12.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330701;17330731;    5;  -999;  17.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330801;17330831;    5;  -999;  15.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17330901;17330930;    5;  -999;  11.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17331001;17331031;    5;  -999;   7.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17331101;17331130;    5;  -999;   4.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17331201;17331231;    5;  -999;   4.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340101;17340131;    5;  -999;   0.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340201;17340228;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340301;17340331;    5;  -999;   5.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340401;17340430;    5;  -999;   8.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340501;17340531;    5;  -999;  12.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340601;17340630;    5;  -999;  14.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340701;17340731;    5;  -999;  16.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340801;17340831;    5;  -999;  15.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17340901;17340930;    5;  -999;  13.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17341001;17341031;    5;  -999;   9.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17341101;17341130;    5;  -999;   0.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
